;net.c;class;lspri_synth;lspri_serum;lspri_relative;lspri_diff;lspri_rel_ch;zav_synth;zav_serum;pdi_synth;pdi_serum;vol_synth;vol_serum;num_synth;num_serum;int_synth;int_serum;hdlayer_synth;hdlayer_serum;hdrel_synth;hdrel_serum;zav_ch;pdi_ch;vol_ch;num_ch;int_ch;zav_rel;pdi_rel;vol_rel;num_rel;int_rel;zp_synth;zp_serum;zp_ch;zp_rel;zp_synth_sign;zp_serum_sign;zp_synth_mag;zp_serum_mag;bca_density;AS.total;P01024;P0C0L4;P02649;P10909;Q14624;P01009;P04114;P00734;P0C0L5;P01008;P04196;P01023;P01042;P02656;P00739;P05154;P02743;P06396;P19823;P12259;P10720;P05546;P49908;P35542;P68871;Q03591;O43866;P02749;P03951;P02654;P03952;P02760;P00738;P01011;P18428;P02655;Q13103;P00736;P00748;P00742;P02774;Q14520;P00751;P00740;P03950;P02790;P09871;P27169;P02788;P20851;P18065;P00450;P08567;P01019;P02671;P15169;Q13790;P08709;P00451;Q06033;P14618;P23528;Q99467
G15.PVA;-7.930160375;1;0.206518319;0.264679172;1.281625636;0.058160853;0.281625636;36.7;53.12;0.213;0.178;34.45;43.83;40.24;39.24;40.24;58.53;21.8;38.22;2.463087248;3.565100671;16.42;-0.035;9.38;-1;18.29;1.447411444;0.835680751;1.272278665;0.975149105;1.454522863;-6.94;-6.06;0.88;0.873198847;-1;-1;6.94;6.06;2.173;9.374924647;0.059276823;0.036158862;0.009484292;0.021932424;0.142857143;0.009484292;0.001185536;0.029045643;0.001185536;0.080616479;0.029045643;0.019561352;0.091286307;0.002371073;0.002371073;0.01659751;0;0.001778305;0;0.008298755;0.000592768;0.002371073;0.001185536;0.016004742;0.004149378;0.004149378;0.002963841;0.004149378;0.044457617;0;0.029638411;0;0;0.000592768;0.002371073;0;0;0.002371073;0;0;0;0;0;0;0;0;0;0.019561352;0;0;0.001185536;0;0;0;0.001778305;0.001185536;0;0;0;0;0;0;0
G15.PVP;-6.021862958;1;0.214972439;0.226224246;1.052340694;0.011251807;0.052340694;36.85;52.96;0.215;0.217;220.5;153;106.06;33.38;106.06;86.22;21.95;38.06;2.473154362;3.554362416;16.11;0.002;-67.5;-72.68;-19.84;1.437177748;1.009302326;0.693877551;0.314727513;0.812936074;-7.34;-5.24;2.1;0.713896458;-1;-1;7.34;5.24;2.602;9.792711736;0.121399927;0.067444404;0.004739336;0.013853445;0.073277433;0.003281079;0.011301495;0.030987969;0.003645643;0.056507474;0.011301495;0.012395188;0.095880423;0.006197594;0.001093693;0.034269048;0.000729129;0.009114109;0.000729129;0.000729129;0.000729129;0;0.000364564;0.001093693;0.000364564;0.005468465;0.001458257;0.027342326;0.022238425;0.000364564;0.022238425;0;0;0;0;0;0;0.001093693;0.001458257;0;0;0;0.001458257;0;0;0;0.000729129;0;0;0;0.00255195;0;0;0;0.003645643;0;0;0;0;0;0;0;0
G15.SA;-5.916153517;1;0.235194793;0.259065497;1.101493336;0.023870704;0.101493336;20.98;46.53;0.201;0.214;26.45;126.27;34.7;27.76;34.7;67.36;6.08;31.63;1.408053691;3.122818792;25.55;0.013;99.82;-6.94;32.66;2.217826501;1.064676617;4.773913043;0.8;1.941210375;-24.63;-6.09;18.54;0.24725944;-1;-1;24.63;6.09;4.358;9.935531012;0.097351734;0.052965311;0.014173816;0.01230884;0.067885117;0.007832898;0.016784782;0.027228646;0.00074599;0.035061544;0.015292801;0.01305483;0.053338307;0.008951884;0.001491981;0.016038791;0.001118985;0.020514733;0.006713913;0.001118985;0.001491981;0.004102947;0.00074599;0;0.001864976;0.007459903;0;0.038791496;0.019395748;0.004475942;0.017903767;0.001118985;0;0.005594927;0.004848937;0.001118985;0;0.002610966;0.005594927;0;0.009324879;0.001864976;0.01230884;0;0;0.012681835;0.002237971;0.002237971;0;0;0.001118985;0;0;0;0.003729952;0;0.00074599;0;0;0;0;0;0
G15.Ser-SH;-5.224317298;1;0.216763661;0.406204486;1.873951032;0.189440825;0.873951032;22.71;57.25;0.137;0.266;28.97;159.47;30.78;33.03;30.78;83.08;7.81;42.35;1.524161074;3.842281879;34.54;0.129;130.5;2.25;52.3;2.520915896;1.941605839;5.504659993;1.073099415;2.699155296;-20.4;-8.73;11.67;0.427941176;-1;-1;20.4;8.73;3.724;10.52196152;0.072172103;0.027758501;0.095766829;0.006939625;0.004163775;0.0055517;0.040249827;0.102706454;0.001387925;0.302567661;0.016655101;0.0111034;0.015267176;0;0;0.0111034;0.043025677;0.00832755;0.00277585;0;0.004857738;0.011797363;0.002081888;0;0;0.004163775;0.000693963;0;0.00277585;0.000693963;0;0;0;0;0.000693963;0;0.001387925;0;0.003469813;0;0;0;0;0;0.009715475;0;0;0;0.011797363;0;0;0;0;0;0;0;0;0;0;0;0.000693963;0;0
G15.SPP;-6.611050045;1;0.156430033;0.24996844;1.597956836;0.093538408;0.597956836;21.59;48.66;0.201;0.115;22.22;45.99;48.43;42.63;48.43;52.06;6.69;33.76;1.448993289;3.265771812;27.07;-0.086;23.77;-5.8;3.63;2.253821214;0.572139303;2.069756976;0.880239521;1.074953541;-23.58;-8.03;15.55;0.340542833;-1;-1;23.58;8.03;7.278;11.28610994;0.054212454;0.032967033;0.043956044;0.007326007;0.021978022;0.008058608;0.000732601;0.088644689;0.004395604;0.153846154;0.066666667;0.00952381;0.165567766;0.000732601;0.000732601;0.013186813;0;0.008058608;0;0.005860806;0.005860806;0.006593407;0.004395604;0;0;0.00952381;0;0.004395604;0.049084249;0;0.020512821;0.000732601;0;0;0;0;0;0;0.001465201;0;0;0;0;0;0.003663004;0;0;0;0.013186813;0;0.002197802;0;0;0;0;0.005860806;0;0;0;0;0;0;0
G15.T20;-5.917024973;1;0.207846287;0.25079303;1.206627427;0.042946744;0.206627427;22.74;51.52;0.309;0.209;23.89;27.83;35.93;23.48;35.93;51.37;7.84;36.62;1.526174497;3.457718121;28.78;-0.1;3.94;-12.45;15.44;2.265611258;0.676375405;1.164922562;0.653492903;1.429724464;-10.71;-8.45;2.26;0.78898226;-1;-1;10.71;8.45;3.541;10.42824634;0.077455647;0.04456945;0.0263955;0.058848983;0.129813933;0.011683254;0.049762008;0.0263955;0.000432713;0.052791;0.009086975;0.01384682;0.040242319;0.013414106;0.006057984;0.014279533;0.000865426;0.000865426;0.005192557;0.009952402;0;0;0.000432713;0.012981393;0.004327131;0;0;0.004327131;0.003028992;0.008221549;0.01384682;0.000432713;0.002596279;0;0.010385115;0.002596279;0;0.011250541;0;0;0.001298139;0.002163566;0.002596279;0;0;0;0.006490697;0.022068369;0;0;0.002163566;0;0;0.000432713;0.001730852;0.000865426;0.004327131;0;0;0;0;0;0
G15.Thr-SH;-5.859771047;1;0.252741732;0.28309167;1.120082813;0.030349938;0.120082813;22.36;42.05;0.125;0.193;20.78;36.9;23.76;34.01;23.76;47.03;7.46;27.15;1.500671141;2.822147651;19.69;0.068;16.12;10.25;23.27;1.88059034;1.544;1.77574591;1.431397306;1.979377104;-18.46;-6.78;11.68;0.367280607;-1;-1;18.46;6.78;3.835;10.84613811;0.075572519;0.021374046;0.110687023;0.008396947;0.003816794;0.003816794;0.029770992;0.102290076;0.002290076;0.320610687;0.019847328;0.010687023;0.021374046;0;0;0.011450382;0.030534351;0.005343511;0.003053435;0;0.004580153;0.011450382;0.003816794;0;0;0.00610687;0;0;0;0;0;0;0;0;0;0;0;0;0.000763359;0;0;0;0;0;0.006870229;0;0;0;0.009160305;0;0;0;0;0;0;0.003053435;0;0;0;0;0.001526718;0;0
G15.TP;-4.652538433;1;0.230133184;0.44177019;1.91962837;0.211637005;0.91962837;22.16;57.28;0.1;0.27;21.7;38.73;23.48;30.32;23.48;73.94;7.26;42.38;1.487248322;3.844295302;35.12;0.17;17.03;6.84;50.46;2.584837545;2.7;1.784792627;1.291311755;3.149063032;-21.75;-10.09;11.66;0.463908046;-1;-1;21.75;10.09;3.282;11.04083647;0.035750766;0.030643514;0.075587334;0.004085802;0.003575077;0.007150153;0.044433095;0.097037794;0.003575077;0.13278856;0.037282942;0.008171604;0.028600613;0;0.00102145;0.01174668;0.051583248;0.002042901;0.00102145;0.004085802;0.006639428;0.009193054;0.00102145;0;0;0;0.003064351;0;0.008682329;0;0.003064351;0;0;0;0;0;0.001532176;0;0.003575077;0.051072523;0;0.000510725;0;0.005617978;0.01072523;0;0;0;0.008171604;0.007660878;0;0;0.002553626;0;0;0.000510725;0;0;0;0;0.003575077;0;0
G15.Trp-SH;-6.965784285;1;0.227017391;0.278460825;1.226605696;0.051443434;0.226605696;22.16;43.48;0.15;0.145;28.27;41.45;34.94;38.49;34.94;46.88;7.26;28.58;1.487248322;2.918120805;21.32;-0.005;13.18;3.55;11.94;1.962093863;0.966666667;1.466218606;1.101602748;1.341728678;-17.95;-7.37;10.58;0.410584958;-1;-1;17.95;7.37;5.222;10.33342271;0.071537291;0.01674277;0.101978691;0.00608828;0.009893455;0.005327245;0.011415525;0.090563166;0.00152207;0.251141553;0.101978691;0.00913242;0.055555556;0;0;0.00761035;0;0.012937595;0;0.002283105;0.00608828;0.01217656;0.00456621;0.005327245;0.000761035;0.00608828;0;0;0.01369863;0;0.006849315;0;0;0;0.00304414;0;0;0;0.002283105;0;0;0;0;0;0;0;0;0;0.002283105;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G30.AC;-3.435963338;1;0.194353214;0.353491169;1.818807935;0.159137954;0.818807935;44.18;64.29;0.047;0.248;42.92;33.88;46.12;24.6;46.12;81.11;12.58;32.69;1.398101266;2.034493671;20.11;0.201;-9.04;-21.52;34.99;1.455183341;5.276595745;0.789375582;0.533391154;1.758673027;-33.12;-11.36;21.76;0.342995169;-1;-1;33.12;11.36;1.486;8.656467498;0.081431767;0.027293065;0.103355705;0.010290828;0.001342282;0.0049217;0.026845638;0.072483221;0.003131991;0.120805369;0.051454139;0.008053691;0.021029083;0;0.000894855;0.010290828;0.039373602;0.010738255;0.001342282;0.002237136;0.003579418;0.006711409;0.001342282;0;0;0.0098434;0.001789709;0;0.013870246;0;0.000894855;0;0;0;0;0;0;0.008948546;0.0098434;0;0;0;0;0;0.004474273;0;0.008053691;0;0.010290828;0;0;0;0.000447427;0;0;0;0;0;0;0;0.002684564;0;0.001789709
G30.AUT;-1.630795975;0;0.278635821;0.309800527;1.111847449;0.031164706;0.111847449;49.97;77.26;0.233;0.167;28.82;53.22;57.17;45.48;57.17;84.26;18.37;45.66;1.581329114;2.444936709;27.29;-0.066;24.4;-11.69;27.09;1.546127677;0.716738197;1.846634282;0.795522127;1.473849921;19.23;-10.03;-29.26;-0.521580863;1;-1;19.23;10.03;3.615;8.582472086;0.017948718;0.022051282;0.024102564;0.011794872;0.001538462;0.022564103;0.016923077;0.231282051;0.004102564;0.056923077;0.002564103;0.003076923;0;0.000512821;0;0.001025641;0;0;0.011794872;0.007179487;0;0.002564103;0;0;0.002051282;0;0.000512821;0;0;0;0;0.002564103;0;0;0;0.004615385;0.005128205;0;0;0.081538462;0.001538462;0.021025641;0;0.036923077;0;0;0;0;0;0.001538462;0;0.000512821;0.004102564;0;0;0;0;0.010769231;0.000512821;0;0;0;0.005128205
G30.CALNN;-7.551648752;1;0.218381264;0.22913763;1.049254983;0.010756366;0.049254983;42.32;65.4;0.133;0.086;39.46;65.28;41.57;62.14;41.57;69.93;10.72;33.8;1.339240506;2.069620253;23.08;-0.047;25.82;20.57;28.36;1.54536862;0.646616541;1.654333502;1.494828001;1.682222757;-29.75;-11.41;18.34;0.383529412;-1;-1;29.75;11.41;2.4;9.405134807;0.057673975;0.060533842;0.009056244;0.001429933;0.013822688;0.003336511;0.000953289;0.097712107;0.001906578;0.177311725;0.066253575;0.014299333;0.097712107;0.000476644;0.000953289;0.02907531;0.035748332;0.0085796;0;0.0042898;0.003336511;0.007626311;0.001906578;0.003813155;0;0.006673022;0;0.001429933;0.080552908;0;0.02049571;0;0;0;0;0;0;0;0;0;0;0.001429933;0;0;0.003336511;0;0;0;0.019542421;0;0.002859867;0;0;0;0;0.004766444;0;0;0.000953289;0;0;0;0
G30.CFGAILS;-6.355792989;1;0.210896027;0.225400645;1.068776159;0.014504619;0.068776159;41.82;68.38;0.094;0.098;42.09;66.65;44.6;63.33;44.6;73.43;10.22;36.78;1.323417722;2.163924051;26.56;0.004;24.56;18.73;28.83;1.635102822;1.042553191;1.583511523;1.419955157;1.646412556;-28.75;-9.72;19.03;0.338086957;-1;-1;28.75;9.72;2.878;9.212841051;0.117255717;0.067775468;0.03035343;0.007484407;0.061122661;0.002910603;0.014137214;0.051559252;0.000831601;0.103534304;0.03950104;0.012058212;0.094386694;0.002494802;0.001247401;0.01995842;0.002494802;0.015384615;0.001663202;0.004573805;0.002494802;0.007068607;0.002079002;0;0.002079002;0.006652807;0;0.013721414;0.068607069;0.001247401;0.017879418;0;0;0.000831601;0.001663202;0;0;0.001663202;0.002079002;0;0;0;0.003326403;0;0;0;0.0004158;0;0.004573805;0;0.004573805;0;0;0;0.001663202;0.002494802;0;0;0;0;0.001247401;0.000831601;0
G30.DDT@BDHDA;-4.952322025;0;0.239468642;0.380651375;1.589566683;0.141182733;0.589566683;40.4;53.24;0.164;0.261;35.08;20.8;45.15;15.37;45.15;69.68;8.8;21.64;1.278481013;1.684810127;12.84;0.097;-14.28;-29.78;24.53;1.317821782;1.591463415;0.592930445;0.340420819;1.543300111;19.93;-9.61;-29.54;-0.482187657;1;-1;19.93;9.61;0.622;8.618705462;0.085205993;0.014981273;0.028089888;0.032771536;0.001872659;0.059925094;0.203183521;0.037453184;0.001872659;0.049625468;0.012172285;0.014044944;0;0.003745318;0.008426966;0;0;0.003745318;0.011235955;0;0;0;0;0.016853933;0.00093633;0;0;0.012172285;0;0;0;0;0.009363296;0.001872659;0;0.004681648;0;0.001872659;0;0;0.001872659;0;0;0;0;0.001872659;0.002808989;0.014981273;0;0;0;0.002808989;0;0.001872659;0;0;0.013108614;0;0;0;0;0;0
G30.DDT@CTAB;-7.598413219;0;0.245009534;0.377310752;1.539983959;0.132301218;0.539983959;39.44;55.07;0.162;0.252;35.03;19.34;44.08;16.36;44.08;68;7.84;23.47;1.248101266;1.742721519;15.63;0.09;-15.69;-27.72;23.92;1.396298174;1.555555556;0.552098202;0.371143376;1.542649728;7.35;-5.14;-12.49;-0.699319728;1;-1;7.35;5.14;0.286;9.038918695;0.083443709;0.013907285;0.052980132;0.029801325;0.006622517;0.00794702;0.185430464;0.08013245;0.001986755;0.164900662;0.023178808;0;0.00397351;0.005960265;0.001986755;0.003311258;0.003311258;0.006622517;0;0;0;0.005298013;0;0.026490066;0.001324503;0;0;0.006622517;0;0;0;0;0.001324503;0;0;0.005960265;0;0;0;0;0;0;0;0;0;0;0;0.00397351;0;0;0;0;0;0;0;0;0.001986755;0;0;0;0;0;0
G30.DDT@DOTAP;-0.513604831;0;0.24399473;0.36658885;1.502445768;0.12259412;0.502445768;48.82;71.85;0.136;0.156;48.64;51.38;54.06;41.89;54.06;83.1;17.22;40.25;1.544936709;2.273734177;23.03;0.02;2.74;-12.17;29.04;1.471732896;1.147058824;1.056332237;0.774879763;1.53718091;20.08;-7.2;-27.28;-0.358565737;1;-1;20.08;7.2;0.851;8.691163302;0.038001407;0.03026038;0.004222379;0.004926108;0.002814919;0.067558058;0.040112597;0.015482055;0.009148487;0;0.004222379;0.032371569;0;0.002111189;0.003518649;0.008444757;0.00140746;0;0.132301196;0.003518649;0;0;0;0;0;0;0;0;0;0;0;0.032371569;0;0.002111189;0;0;0.004222379;0;0;0.003518649;0;0.142857143;0;0.00070373;0;0;0;0;0;0;0;0;0;0.002111189;0;0;0;0;0.00070373;0.020408163;0;0;0.008444757
G30.DDT@HDA;-5.308715983;0;0.24930105;0.342722713;1.374734337;0.093421663;0.374734337;43.58;61.43;0.161;0.226;40.07;23.48;49.23;18.1;49.23;73.47;11.98;29.83;1.379113924;1.943987342;17.85;0.065;-16.59;-31.13;24.24;1.409591556;1.403726708;0.585974545;0.367661995;1.492382693;18.93;-5.52;-24.45;-0.291600634;1;-1;18.93;5.52;0.735;8.455614147;0.081954295;0.009456265;0.055161545;0.017336485;0.002364066;0.050433412;0.136327817;0.051221434;0.002364066;0.07643814;0.022064618;0.00394011;0;0.003152088;0.00394011;0.003152088;0.019700552;0.002364066;0.006304177;0.005516154;0;0.00394011;0;0.02679275;0.00394011;0;0;0.026004728;0;0.005516154;0;0;0.00394011;0;0.001576044;0.005516154;0;0;0;0;0;0;0;0;0;0;0;0.018124507;0;0;0;0;0;0;0;0;0.007092199;0;0.001576044;0;0;0;0
G30.LA;-5.051219761;1;0.208557768;0.288393063;1.382797033;0.079835295;0.382797033;40;62.97;0.111;0.158;39.59;44.04;43.07;37.94;43.07;69.55;8.4;31.37;1.265822785;1.992721519;22.97;0.047;4.45;-5.13;26.48;1.57425;1.423423423;1.112402122;0.880891572;1.614813095;-32.37;-10.9;21.47;0.336731542;-1;-1;32.37;10.9;3.232;9.149565212;0.043176972;0.012260128;0.069829424;0.003198294;0.013326226;0.003731343;0.001599147;0.09434968;0.002665245;0.190831557;0.107142857;0.012260128;0.090085288;0;0.000533049;0.008528785;0.001066098;0.004264392;0;0.02238806;0.004797441;0.01119403;0.002665245;0.004797441;0;0.014392324;0;0.012793177;0.065565032;0;0.012260128;0;0;0;0.000533049;0;0;0;0;0;0;0;0.000533049;0;0.002132196;0;0;0;0.004797441;0;0;0;0.003198294;0;0;0.004264392;0;0;0.00533049;0;0;0;0
G30.MAA;-6.142034924;1;0.244654031;0.375908857;1.53649157;0.131254825;0.53649157;38.77;61.91;0.189;0.214;36.59;24.51;45.01;19.74;45.01;72.2;7.17;30.31;1.226898734;1.959177215;23.14;0.025;-12.08;-25.27;27.19;1.596853237;1.132275132;0.669855152;0.438569207;1.60408798;-28.55;-11.14;17.41;0.390192644;-1;-1;28.55;11.14;2.967;9.946132423;0.069396552;0.030172414;0.034482759;0.002155172;0.022844828;0.003448276;0.002155172;0.101293103;0.002586207;0.076293103;0.042241379;0.014224138;0.156034483;0.000431034;0.000431034;0.009913793;0.004741379;0.008189655;0;0.001724138;0.003448276;0;0.001724138;0.002586207;0;0.000862069;0;0.000431034;0.088793103;0.000431034;0.024137931;0;0;0;0;0;0.002586207;0;0.002155172;0.046551724;0;0;0;0.017672414;0.005172414;0;0;0;0.001293103;0;0.004310345;0;0.001293103;0;0;0.000862069;0;0.013362069;0;0;0;0;0
G30.Met-SH;-5.228638365;1;0.222195394;0.290942811;1.309400728;0.068747417;0.309400728;43.5;61.31;0.091;0.201;43.38;26.43;45.82;21.39;45.82;73.4;11.9;29.71;1.376582278;1.940189873;17.81;0.11;-16.95;-24.43;27.58;1.409425287;2.208791209;0.609266943;0.466826713;1.601920559;-30.57;-10.6;19.97;0.346745175;-1;-1;30.57;10.6;3.557;9.550485339;0.036450079;0.023771791;0.086106709;0.003169572;0.009508716;0.002113048;0.001584786;0.12836767;0.00528262;0.217643951;0.099313259;0.006867406;0.104067618;0.000528262;0;0.014263074;0.002113048;0.003697834;0;0.003697834;0.006867406;0.007395668;0.001584786;0.00528262;0;0.006339144;0;0;0.034337031;0.000528262;0.006339144;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008452192;0;0;0;0.007395668;0;0;0;0;0;0;0.00528262;0;0;0;0;0;0;0.001056524
G30.MHDA;-4.325973307;1;0.209165937;0.272366315;1.302154258;0.063200378;0.302154258;43.68;67.37;0.058;0.121;43.28;51.96;45.11;41.65;45.11;76.17;12.08;35.77;1.382278481;2.131962025;23.69;0.063;8.68;-3.46;31.06;1.54235348;2.086206897;1.200554529;0.923298603;1.688539127;-33.48;-8.81;24.67;0.263142174;-1;-1;33.48;8.81;2.069;9.013747924;0.033453888;0.047468354;0.012206148;0.003164557;0.003616637;0.012658228;0.007685353;0.037522604;0.004972875;0.028481013;0.069168174;0.015370705;0.018987342;0;0.004068716;0.001808318;0.035262206;0.00045208;0.00045208;0;0.004972875;0.001808318;0.001356239;0;0;0.003164557;0.004520796;0.008137432;0.00994575;0.002712477;0.001808318;0;0.003616637;0;0;0;0.001808318;0;0.02079566;0.086347197;0;0;0;0.060126582;0.005424955;0.000904159;0;0;0.000904159;0.007233273;0;0;0.001808318;0.00045208;0;0;0;0.001808318;0;0;0;0;0
G30.MUA;-4.555036156;1;0.207309655;0.302032034;1.456912526;0.094722378;0.456912526;42.22;66.32;0.061;0.161;40.83;44.32;45.54;38.06;45.54;75.3;10.62;34.72;1.336075949;2.098734177;24.1;0.1;3.49;-7.48;29.76;1.570819517;2.639344262;1.085476365;0.835748792;1.653491436;-32.67;-9.41;23.26;0.288031833;-1;-1;32.67;9.41;1.91;8.935889773;0.032495667;0.035095321;0.008232236;0.003032929;0.003466205;0.00779896;0.02339688;0.031629116;0.004332756;0.045060659;0.074956672;0.009965338;0.018630849;0;0.002166378;0.001733102;0.040294627;0;0;0.000433276;0.003466205;0.000866551;0.000866551;0;0;0.006499133;0.00389948;0;0.008665511;0;0.005199307;0.000433276;0;0;0;0;0.002166378;0;0.037261698;0.099220104;0;0;0;0.057192374;0.005199307;0;0;0;0.004332756;0.00779896;0;0;0.001733102;0;0;0;0;0.001733102;0.001299827;0;0;0;0
G30.MUTA;0.500057573;0;0.497955977;0.651065624;1.307476273;0.153109648;0.307476273;91.86;122.28;0.387;0.203;64.67;495.82;136.68;66.11;136.68;163.85;60.26;90.68;2.906962025;3.869620253;30.42;-0.184;431.15;-70.57;27.17;1.331156107;0.524547804;7.666924385;0.483684519;1.198785484;24.34;-7.94;-32.28;-0.326211997;1;-1;24.34;7.94;1.332;8.346796636;0.031019202;0.035942885;0.001969473;0.007877893;0.007385524;0.073855244;0.031019202;0.019202363;0.006400788;0.016248154;0.00295421;0.07779419;0;0.000492368;0.002461841;0.008370261;0;0;0.113737075;0.002461841;0.000984737;0;0;0;0;0;0.000984737;0;0;0;0;0.035942885;0.002461841;0.004431315;0;0;0.004923683;0.002461841;0;0.002461841;0;0.122107336;0;0;0;0.000984737;0;0;0;0;0;0.000984737;0;0.004431315;0;0;0;0;0.002461841;0.062530773;0;0;0.001969473
G30.PAH-SH;-0.697710198;0;0.255484287;0.374145386;1.464455566;0.118661099;0.464455566;40.47;68.42;0.23;0.278;29.57;46.03;55.68;25.45;55.68;104.54;8.87;36.82;1.280696203;2.165189873;27.95;0.048;16.46;-30.23;48.86;1.690635038;1.208695652;1.556645249;0.457076149;1.877514368;16.08;-9.82;-25.9;-0.610696517;1;-1;16.08;9.82;1.909;8.745475567;0.062464183;0.035530086;0.021203438;0.011461318;0.010888252;0.03495702;0.00286533;0.103724928;0.005730659;0.048137536;0.020630372;0.007449857;0.026361032;0.01260745;0.000573066;0.000573066;0;0.013180516;0.032091691;0.011461318;0;0;0;0;0.000573066;0;0;0;0;0;0;0.004584527;0;0.001146132;0;0.002292264;0;0.003438395;0;0.04756447;0.004584527;0.004584527;0.000573066;0.026361032;0;0.003438395;0.001719198;0;0;0.001719198;0.001719198;0.002292264;0.005157593;0;0.01260745;0;0;0.005157593;0;0.00286533;0;0;0.004011461
G30.Thr-SH;-5.737735237;1;0.217630376;0.280269179;1.287821964;0.062638802;0.287821964;43.59;60.9;0.081;0.144;43.89;93.1;45.87;46.89;45.87;77.13;11.99;29.3;1.37943038;1.92721519;17.31;0.063;49.21;1.02;31.26;1.397109429;1.777777778;2.121212121;1.022236756;1.681491171;-27.78;-11.65;16.13;0.419366451;-1;-1;27.78;11.65;2.723;9.469122568;0.036077236;0.056402439;0.108739837;0.003556911;0.005589431;0.00050813;0;0.134146341;0.00050813;0.135162602;0.076727642;0.00203252;0.096036585;0;0;0.035060976;0.06351626;0.00254065;0;0.00101626;0.008638211;0.007113821;0.00050813;0.005081301;0;0.00254065;0;0;0.055894309;0;0.007621951;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00254065;0;0;0;0;0;0;0;0;0;0;0.00101626;0;0;0;0;0;0;0
G30.TP;-4.142544441;1;0.212008092;0.382057493;1.802089198;0.1700494;0.802089198;42.9;50.05;0.058;0.282;41.71;15.44;44.73;13.15;44.73;65.41;11.3;18.45;1.357594937;1.583860759;7.15;0.224;-26.27;-31.58;20.68;1.166666667;4.862068966;0.370175018;0.293986139;1.462329533;-33.97;-8.14;25.83;0.239623197;-1;-1;33.97;8.14;1.834;9.28686404;0.034810127;0.051084991;0.065551537;0.002260398;0.002260398;0.006329114;0.037974684;0.054249548;0.007233273;0.068716094;0.017179024;0.003616637;0.02079566;0;0.001808318;0.005424955;0.089059675;0.000904159;0;0;0.006781193;0.002712477;0.00045208;0;0;0.00045208;0.003164557;0;0.004520796;0;0;0;0;0;0;0;0.003164557;0;0.004972875;0.075045208;0;0;0;0.009493671;0.005877034;0;0;0;0.000904159;0.01039783;0;0;0.002260398;0;0;0;0;0;0;0;0;0;0
G60.AUT;-0.779818657;0;0.281660843;0.377517145;1.340325267;0.095856302;0.340325267;81.01;108.27;0.099;0.086;68.59;244.57;87.28;88.72;87.28;121.04;21.71;48.97;1.366104553;1.825801012;27.26;-0.013;175.98;1.44;33.76;1.336501666;0.868686869;3.565680128;1.016498625;1.3868011;19.11;-11.47;-30.58;-0.600209314;1;-1;19.11;11.47;2.274;8.080055121;0.027227723;0.023267327;0.019306931;0.009405941;0.001980198;0.024257426;0.015346535;0.259405941;0.003960396;0.051980198;0.002475248;0.005445545;0;0.00049505;0.001980198;0;0;0;0.00990099;0.006930693;0;0;0;0.001485149;0.001980198;0;0;0;0;0;0;0.000990099;0.002475248;0;0;0.003960396;0.004950495;0;0;0.104455446;0.001485149;0.00990099;0;0.032178218;0;0;0;0;0;0.001980198;0;0.000990099;0.008910891;0;0;0;0;0.011386139;0.000990099;0;0;0;0.002970297
G60.CIT;-4.747778134;1;0.209150851;0.314877223;1.505502946;0.105726371;0.505502946;71.03;109.94;0.1;0.081;67.66;366.09;76.52;104.45;76.52;132.43;11.73;50.64;1.197807757;1.853962901;38.91;-0.019;298.43;27.93;55.91;1.547796706;0.81;5.410730121;1.365002614;1.730658651;-34.58;-8.97;25.61;0.259398496;-1;-1;34.58;8.97;2.835;10.00977823;0.114345114;0.046153846;0.014553015;0.004158004;0.069438669;0.005821206;0.001247401;0.027442827;0.0004158;0.038253638;0.031600832;0.008731809;0.095218295;0.004158004;0.001247401;0.015384615;0.000831601;0.033264033;0.005821206;0;0.002079002;0.003742204;0.000831601;0.003326403;0.002079002;0.010810811;0;0.019126819;0.051143451;0.002494802;0.022869023;0.000831601;0;0.002910603;0;0.002079002;0;0.001247401;0.004158004;0;0.003326403;0;0.008316008;0;0.001663202;0.00997921;0.000831601;0;0.001663202;0.000831601;0.003326403;0.003742204;0;0;0.00956341;0.005405405;0;0;0;0;0;0;0
G60.CTAB;-4.067092212;0;0.36210135;0.32615784;0.900736326;-0.03594351;-0.099263674;67.59;107.61;0.092;0.095;66.21;435.13;71.74;99.19;71.74;132.73;8.29;48.31;1.139797639;1.814671164;40.02;0.003;368.92;27.45;60.99;1.592099423;1.032608696;6.571967981;1.382631726;1.850153331;-21.45;-9.77;11.68;0.455477855;-1;-1;21.45;9.77;1.895;7.718737202;0.093383138;0.04375667;0.020811099;0.011205977;0.054429029;0.025080043;0.01280683;0.040021345;0.001067236;0.048559232;0.028815368;0.007470651;0.082177161;0.011739594;0.001067236;0.020811099;0;0.016008538;0.011205977;0.00266809;0.001600854;0.003735326;0.001067236;0.005869797;0.001600854;0.004802561;0;0.019743863;0.056563501;0.005336179;0.019743863;0.003735326;0.00266809;0.00266809;0.010138741;0.005336179;0;0.000533618;0.001067236;0;0.006937033;0.001600854;0.006403415;0;0;0.009605123;0;0.001067236;0;0;0.001067236;0;0;0.000533618;0.004802561;0.001600854;0.001067236;0;0;0;0;0;0
